;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Maj 2021;;Kwiecień 2021;;Maj 2020;;Maj 2021 / Kwiecień 2021;;Maj 2021 / Maj 2020
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;12;79133.48;5;32033.452;19;171959.8123;1.4;1.470339;-0.368421;-0.539814
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;;;< 5;4636.92;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;20;172840.07;24;162681.73;16;92099.88;-0.166667;0.062443;0.25;0.876659
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;48;145792.4832;23;69901.9632;34;102216.66;1.086957;1.085671;0.411765;0.426308
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;15;122657.49;21;203309.5357;24;224996.6562;-0.285714;-0.396696;-0.375;-0.454847
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;7182.68;< 5;6819;< 5;4546; ;0.053333; ;0.58
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;35;321639.1484;19;144287.0844;18;194130.59;0.842105;1.229161;0.944444;0.656818
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;4959;< 5;7500;< 5;17984.75; ;-0.3388; ;-0.724266
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;2283;< 5;6928;< 5;3080; ;-0.670468; ;-0.258766
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;;;< 5;2770.2;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;113;333717.0192;64;188069.6232;33;90486;0.765625;0.774433;2.424242;2.688051
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;2479.3884;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;44;290836.37;47;139591.8352;46;264692.28;-0.06383;1.083477;-0.043478;0.098772
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;4546;< 5;7027;< 5;4546; ;-0.353067; ;0
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;4438;< 5;1839;< 5;5012; ;1.413268; ;-0.114525
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;23;134101.6;24;162191;12;60488;-0.041667;-0.173187;0.916667;1.216995
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;1887.0408;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;< 5;4568;< 5;2362; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;< 5;3871;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;70;324595.04148;87;262837.57392;31;86452;-0.195402;0.234964;1.258065;2.754627
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;2156.9328;;;< 5;2500.3; ;; ;-0.13733
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;45;374216.33304;19;107342.362;30;246378.45;1.368421;2.486194;0.5;0.518868
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL PULMONOLOGICZNY;A Choroby układu nerwowego;< 5;4546;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;33946.5;< 5;13649.16;6;34420.62; ;1.487076; ;-0.013774
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL PULMONOLOGICZNY;F Choroby przewodu pokarmowego;5;29417;5;36092;< 5;19460;0;-0.184944; ;0.511665
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL PULMONOLOGICZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;5787;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;9;111570.5248;9;81492.1324;6;62107.96;0;0.369096;0.5;0.796397
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;POZA PSZ;F Choroby przewodu pokarmowego;< 5;7409;< 5;6127;;; ;0.209238; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;POZA PSZ;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;21628;< 5;10628;< 5;17648; ;1.035002; ;0.225521
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;9660;< 5;9789.6;< 5;18729.52; ;-0.013239; ;-0.484237
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;7;12946.56;< 5;9854.04;< 5;3733.17; ;0.313833; ;2.46798
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;21;125835.06;8;42285.78;11;60816.35;1.625;1.975824;0.909091;1.069099
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;33845.64;;;< 5;5960.61; ;; ;4.678217
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;2432.86;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;191;581988.0672;145;457155.9;67;204594.05;0.317241;0.273063;1.850746;1.844599
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;30;200296.6402;27;207845.7362;47;380849.8954;0.111111;-0.036321;-0.361702;-0.47408
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;< 5;9317.46;< 5;17659.14;< 5;4802.16; ;-0.472372; ;0.940264
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;< 5;8426.12;< 5;8254.52;;; ;0.020789; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;40;242876.1628;30;258691.409;31;171331.76;0.333333;-0.061136;0.290323;0.417578
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;3470;< 5;15405.01;< 5;17826.76; ;-0.774749; ;-0.805349
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;;;< 5;6965;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;7180.48;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;< 5;1848.3;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;330;982162.6006;286;818944.5832;102;290559.94;0.153846;0.199303;2.235294;2.380241
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;969.6;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;59;460303.9362;57;474464.3862;64;535048.8598;0.035088;-0.029845;-0.078125;-0.139697
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;9948.96;< 5;4958.28;;; ;1.006535; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;24684.58;< 5;1839;6;60880.16; ;12.422828; ;-0.594538
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;6;32880;12;73462.6;5;30952;-0.5;-0.552425;0.2;0.06229
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;7511.4;< 5;7462.8;< 5;3515; ;0.006512; ;1.136956
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;66;225885.24;61;201636;50;158864;0.081967;0.120262;0.32;0.421878
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;4724;< 5;4724;9;90421.35; ;0; ;-0.947756
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;16986;< 5;17384.34;< 5;2273; ;-0.022914; ;6.472943
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;4252;< 5;4201.7052;;; ;0.01197; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;9;77694.8;< 5;97395.2552;5;26198; ;-0.202273;0.8;1.965677
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;2362;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;64;237731.5116;54;182490.5306;26;232281.57;0.185185;0.302706;1.461538;0.023463
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;;;< 5;2114.64;< 5;1137; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;18;288520.8424;11;62124.906;8;46479.2;0.636364;3.644206;1.25;5.207526
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;;;;;< 5;5517;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;49;151805.88;27;87090.12;17;47875;0.814815;0.74309;1.882353;2.17088
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;;;< 5;1182;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;6563;< 5;1839;;; ;2.568787; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;POZA PSZ;F Choroby przewodu pokarmowego;;;< 5;6127;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;POZA PSZ;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;20244;< 5;8266;;; ;1.449068; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;6955.38;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;4337.04;< 5;8948.46;< 5;4379.56; ;-0.515331; ;-0.009709
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;E Choroby układu krążenia;< 5;14799.9;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;87;551531.3086;51;315853.14;25;130545.832;0.705882;0.746164;2.48;3.22481
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;< 5;9488.36;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;4818.48;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;N Położnictwo i opieka nad noworodkami;< 5;5013;< 5;10026;< 5;18102; ;-0.5; ;-0.723069
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;323;947079.7938;244;720046.8162;130;374127.02;0.32377;0.315303;1.484615;1.531439
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;85;733023.811;67;541102.511;71;559908.5535;0.268657;0.354686;0.197183;0.309185
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;A Choroby układu nerwowego;< 5;6887.19;< 5;4591.46;< 5;9273.84; ;0.5; ;-0.257353
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;1633.17;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;14;88391.5;9;55633.16;38;281057.8664;0.555556;0.588828;-0.631579;-0.685504
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;31761.47;< 5;4554.09;;; ;5.974274; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;< 5;1490.76;;;< 5;1505.52; ;; ;-0.009804
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;N Położnictwo i opieka nad noworodkami;6;30078;7;35091;;;-0.142857;-0.142857;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;71;208103.04;48;148292.52;32;95569.92;0.479167;0.403328;1.21875;1.177495
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;29;352828.2052;18;140462.316;42;378139.0186;0.611111;1.511907;-0.309524;-0.066935
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;A Choroby układu nerwowego;9;39625;< 5;4546;< 5;21018; ;7.716454; ;0.885289
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;1839;< 5;9769;< 5;5406; ;-0.811751; ;-0.659822
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;99;615451.61;59;358368.6;29;176563.07;0.677966;0.71737;2.413793;2.485732
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;13;40961.8;9;38579;< 5;7027;0.444444;0.061764; ;4.829202
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;8268;< 5;9369;< 5;4724; ;-0.117515; ;0.750212
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;3490;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;N Położnictwo i opieka nad noworodkami;;;< 5;5013;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;147;477733.4694;139;421718.2164;55;158314;0.057554;0.132826;1.672727;2.017632
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;;;;;< 5;2183.8;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;168;1367195.3388;170;1410266.67;112;984861.78;-0.011765;-0.030541;0.5;0.38821
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;5;30606;< 5;9092;< 5;18184; ;2.366256; ;0.683128
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;705;< 5;3707.64;;; ;-0.809852; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;11;31856.32;5;28359.74;< 5;18514.88;1.2;0.123294; ;0.720579
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;25;160825.8;25;166491;12;78157.63;0;-0.034027;1.083333;1.057711
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;10;34763.41;< 5;21843.24;< 5;2479; ;0.591495; ;13.023159
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;2362;< 5;4311;< 5;4724; ;-0.452099; ;-0.5
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;;;< 5;1476;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;N Położnictwo i opieka nad noworodkami;33;139214.355;38;184822.365;29;176771;-0.131579;-0.246767;0.137931;-0.212459
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;71;252290.5812;57;210642.66;34;111201;0.245614;0.197718;1.088235;1.26878
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;4800.276;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;38;270958.2884;46;441120.554;45;297046.95;-0.173913;-0.38575;-0.155556;-0.087827
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL ONKOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;4724;;;< 5;2362; ;; ;1
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;;;< 5;2296.08;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;130;479291.88;93;290433;30;93748;0.397849;0.650267;3.333333;4.112556
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;;;;;< 5;177870.07;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;6573.52;< 5;2696.76;< 5;1182; ;1.437562; ;4.561354
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;8;48431.88;7;13477.68;8;15179;0.142857;2.593488;0;2.190716
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PULMONOLOGICZNY;P Choroby dzieci - leczenie zachowawcze;18;68205.24;13;49191.84;11;38386;0.384615;0.386515;0.636364;0.776826
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;3169;< 5;1276.56;< 5;3546; ;1.482453; ;-0.106317
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;4337.04;< 5;4337.04;;; ;0; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;29;170231.88;15;95118.06;< 5;27189.94;0.933333;0.78969; ;5.260841
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;1625.88;< 5;2409.24;;; ;-0.325148; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL I STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;3710.06;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;53;158558.4072;42;125535.42;36;101657.91;0.261905;0.263057;0.472222;0.559725
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;20;125005.3044;19;83917.032;12;77842.3633;0.052632;0.48963;0.666667;0.605878
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;< 5;4951;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;14024.86;;;< 5;12878.52; ;; ;0.089012
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;2409.24;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;27;76862.1312;30;86240.8296;10;27699.12;-0.1;-0.10875;1.7;1.774894
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;24;245703.003;11;76487.3;15;171863.4516;1.181818;2.212337;0.6;0.429641
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;< 5;13892;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;< 5;1476;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;20;78780.816;25;116775;6;15867;-0.2;-0.325362;2.333333;3.965073
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;< 5;2583.36;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;6;44213;10;60556.56;9;70164;-0.4;-0.269889;-0.333333;-0.369862
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;;;;;< 5;4504;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;;;< 5;16532;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Podkarpackie;POZA PSZ;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;< 5;8266;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Podkarpackie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;9273.84;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Podkarpackie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;< 5;4754.16;;; ;;;
